(* Library holdings (# of books in each library), *)
(* collected by Christian Ayotte.                 *)
(* Labels not available.                          *)


data -         34839
data -         10140
data -         10199
data -         34032
data -          6371
data -         14792
data -         31610
data -          9648
data -         11348
data -          6443
data -         11660
data -         13669
data -         11347
data -          8409
data -          7776
data -         10761
data -         30601
data -          6013
data -         10005
data -          4072
data -         19197
data -        144141
data -         26103
data -          9217
data -          9856
data -          8435
data -         32171
data -          9896
data -        102949
data -          9795
data -         20556
data -          7840
data -         21803
data -         15204
data -         15485
data -          6077
data -          8143
data -          5390
data -         17836
data -          3638
data -         20502
data -        113136
data -         25712
data -          8389
data -         32097
data -          8813
data -         11904
data -          5919
data -          7516
data -         44100
data -          8202
data -          6408
data -         13148
data -         15490
data -         26276
data -          8946
data -          6892
data -         21552
data -          6283
data -         20643
data -         16960
data -         22048
data -         13619
data -         17308
data -         42516
data -          4585
data -          5728
data -          8563
data -          6371
data -          9184
data -         10954
data -          8155
data -          2504
data -          9115
data -         13373
data -         24000
data -         11732
data -         12840
data -          8506
data -          5447
data -         13460
data -         14000
data -         19879
data -         11708
data -          4403
data -         16757
data -          4128
data -          4909
data -         10605
data -          5758
data -          9307
data -         10093
data -         15118
data -          8847
data -          6603
data -         11274
data -          3526
data -          7434
data -          8216
data -         11656
data -         39165
data -          7109
data -          9660
data -          9130
data -         11731
data -          6777
data -          2997
data -         18241
data -          3079
data -          7636
data -          5289
data -          5614
data -          8160
data -          2716
data -          8481
data -          6351
data -         14851
data -         31544
data -         20094
data -         13067
data -          3468
data -          5550
data -         16666
data -         28486
data -         39090
data -         17412
data -        329100
data -        101303
data -          7340
data -         44642
data -         74576
data -         34407
data -          5130
data -         24611
data -         39876
data -         54204
data -         89747
data -         10423
data -         14299
data -         52572
data -          5835
data -         15826
data -         23283
data -         16044
data -         40490
data -          9976
data -         36915
data -         51933
data -         11723
data -          8351
data -         14462
data -         12052
data -         21552
data -         10174
data -         12381
data -         22074
data -         19691
data -         15366
data -          9404
data -          8731
data -         27458
data -          8514
data -         11767
data -          8963
data -        210238
data -         32252
data -         15236
data -         47550
data -         88254
data -          5021
data -         88180
data -         22877
data -          8338
data -         12224
data -         29998
data -        112593
data -         83300
data -         50413
data -         31345
data -          3018
data -         11384
data -         12845
data -         45254
data -          8005
data -        101404
data -          5725
data -          7695
data -          8205
data -         12375
data -          4823
data -         45360
data -         17648
data -         40856
data -         43470
data -        110853
data -         10820
data -         12585
data -         12943
data -         36688
data -         58402
data -          9868
data -         11790
data -          9562
data -         23763
data -          8230
data -         12440
data -         44722
data -         35161
data -         12780
data -         26073
data -         82674
data -         21725
data -         17084
data -         14500
data -         25531
data -          4823
data -        136288
data -         17536
